Police_Station,population_estimate
LANGLAAGTE,24973
LANSDOWNE,48487
LAUDIUM,27294
LEBOENG,22227
LEBOWAKGOMO,137497
LEEU GAMKA,5389
LEEUDORINGSTAD,16386
LEHURUTSHE,62103
LENASIA,90945
LENASIA SOUTH,83582
LENTEGEUR,86391
LEPHALALE,51186
LESLIE,36446
LETHABONG,26354
LETHLABILE,82629
LETSITELE,77872
LEVUBU,53641
LIBODE,119919
LICHTENBURG,67550
LIME ACRES,4846
LINDEN,65808
LINDLEY,13567
LINGELETHU-WEST,64371
LOATE,105378
LOERIESFONTEIN,3501
LOMANYANENG,53387
LOTHAIR,14358
LOUWSBURG,16122
Low Creek,6770
LOXTON,1690
LUCKHOFF,4308
LUKHOLWENI,19938
LULEKANI,52933
LUSIKISIKI,202472
LUTZVILLE,14476
LWANDLE,65146
LYDENBURG,48995
LYTTELTON,109190
MAAKE,161332
MAARTENSHOOP,5396
MABOPANE,88255
MACASSAR,35030
MACHADODORP,10194
MACLEANTOWN,10433
MACLEAR,11699
MADADENI,157125
MADEIRA,25326
MADIBOGO,35828
MADIKWE,62232
MAFUBE,28023
MAGALIESBURG,12455
MAGATLE,63884
MAGUDU,8158
MAHAMBA,8874
MAHIKENG,76634
MAHLABATHINI,58791
MAHWELERENG,151653
MAITLAND,19529
MAKAPANSTAD,53009
MAKGOBISTAD,16500
MAKHADO,59895
MAKUYA,19266
MAKWANE,42619
MAKWASSIE,17636
MALAMULELE,134305
MALEBOHO,57255
MALELANE,11571
MALETSWAI,17912
MALIPSDRIFT,20284
MALMESBURY,58356
MALUTI,93741
MALVERN,38457
MAMELODI,72533
MAMELODI EAST,260784
MANDENI,11362
MANENBERG,85283
MANGAUNG,51858
MANKWENG,198514
MAOKENG,73906
MAPHUMULO,57370
MARA,3262
MARBLE HALL,76219
MARGATE,63124
MARIANNHILL,123568
MARIKANA,56873
MARQUARD,17016
MARYDALE,3152
MASEMOLA,38520
MASHASHANE,55083
MASISI,20956
MASOYI,98815
MATATIELE,14230
MATLALA,94064
MATSULU,49067
MAYDON WHARF,900
MAYFLOWER,38873
MAYVILLE-KZN,32836
MBAZWANA,42734
MBEKWENI,40202
Mbizana,115007
MBIZENI,754
MBONGOLWANE,31980
MBUZINI,22416
MCGREGOR,5786
MDANTSANE,83791
MEADOWLANDS,143811
MECKLENBURG,131329
MEHLOMNYAMA,30948
MELKBOSSTRAND,12383
MELMOTH,82888
MELODING,40495
MEMEL,8809
MEYERTON,47354
MFULENI,115794
MHALA,134437
MHLUZI,88045
MID ILLOVO,23598
MIDDELBURG MPUMALANG,99807
MIDDELBURG(EC),21707
MIDDELPOS,1163
MIDDLEDRIFT,18889
MIDRAND,80789
MILNERTON,86089
MITCHELLS PLAIN,195377
